STT,Ngữ liệu,Cách đọc,Nghĩa,Câu ví dụ,Dịch,Link (JP),Link (VN),ô đỏ,: bổ sung thông tin
50,慎重な,しんちょうな,thận trọng,先週の市場は、幅広い調整と買い増しの動きを見せました。建設セクターはプラスの展開を見せ、保険、石油・ガス、工業団地の回復も見られました。一方で、テクノロジー・通信、鉄鋼、小売、港湾、不動産、証券、肥料、化学といった主要セクターの多くは、大幅な調整圧力にさらされました。この乖離は、明確な投資機会が見られない中で、投資家が慎重な姿勢をとっていることを反映しています。,"Thị trường tuần qua cho thấy độ rộng nghiêng về điều chỉnh và tích lũy. Các nhóm ngành ghi nhận diễn biến tích cực như xây dựng, cùng với sự phục hồi ở bảo hiểm, dầu khí và khu công nghiệp. Ngược lại, nhiều nhóm ngành chủ chốt chịu áp lực điều chỉnh đáng kể như công nghệ-viễn thông, thép, bán lẻ, cảng, bất động sản, chứng khoán, phân bón - hóa chất. Sự phân hóa này phản ánh tâm lý thận trọng của nhà đầu tư khi thiếu vắng các cơ hội rõ ràng.",https://www.vietnam.vn/ja/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi,https://vtcnews.vn/chung-khoan-co-the-nen-lo-xo-nha-dau-tu-nen-lam-gi-ar967953.html,,
51,シンプルな,しんぷるな,đơn giản,極めてシンプルな質問だと思ったんですが、石破首相は一瞬ことばに詰まりました。,"Đây là một câu hỏi hết sức đơn giản, nhưng Thủ tướng Ishiba đã thoáng lúng túng trong giây lát.",https://www3.nhk.or.jp/news/html/20250703/k10014851951000.html,,,
52,速やかな,すみやかな,nhanh chóng,事務方の協議が整いしだい、大統領令の発出までに私自身あと1回は少なくとも訪米する。引き続き日米間の合意の誠実かつ速やかな実施の方策について協議していく,"Sau khi các cuộc thảo luận cấp chuyên viên hoàn tất, tôi sẽ đích thân đến thăm Hoa Kỳ ít nhất một lần nữa trước khi ban hành sắc lệnh của Tổng thống. Chúng tôi sẽ tiếp tục thảo luận các biện pháp để thực hiện thỏa thuận Nhật Bản-Hoa Kỳ một cách trung thực và nhanh chóng.",https://www3.nhk.or.jp/news/html/20250902/k10014910411000.html,,,
53,生産的な,せいさんてきな,"sản xuất lực, năng suất",低技能の外国人労働者への依存が不健全な水準に近づいている地域があり、それが生産性の伸びを抑制し…,"Việc phụ thuộc vào lao động nhập cư không chuyên trở nên không lành mạnh, và điều đó đang kìm hãm sự tăng trưởng của năng suất.",https://jp.wsj.com/articles/rich-countries-are-becoming-addicted-to-cheap-labor-ba268d22?,,,
54,誠実な,せいじつな,trung thực,事務方の協議が整いしだい、大統領令の発出までに私自身あと1回は少なくとも訪米する。引き続き日米間の合意の誠実かつ速やかな実施の方策について協議していく,"Sau khi các cuộc thảo luận cấp chuyên viên hoàn tất, tôi sẽ đích thân đến thăm Hoa Kỳ ít nhất một lần nữa trước khi ban hành sắc lệnh của Tổng thống. Chúng tôi sẽ tiếp tục thảo luận các biện pháp để thực hiện thỏa thuận Nhật Bản-Hoa Kỳ một cách trung thực và nhanh chóng.",https://www3.nhk.or.jp/news/html/20250902/k10014910411000.html,,,
55,積極的な,せっきょくてきな,tích cực,透明性と繋がりが重視される時代において、CEOがブランドアンバサダーとして積極的に活動することは、単なるトレンドではなく、スマートなコミュニケーション手段でもあります。,"Trong kỷ nguyên của sự minh bạch và kết nối, việc các CEO bước ra làm đại diện thương hiệu không chỉ là một xu hướng (tích cực) mà còn là một cách làm truyền thông thông minh. ",https://www.vietnam.vn/ja/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu,https://vtv.vn/the-high-don-bay-kinh-doanh-tu-loi-the-ceo-lam-dai-dien-thuong-hieu-100250923170136642.htm,,
56,絶好調な,ぜっこうちょうな,"cực kỳ thuận lợi, đỉnh cao",「業績絶好調な企業」ランキングTOP100,Xếp hạng 100 doanh nghiệp có hiệu suất kinh doanh cực kỳ cao.,https://diamond.jp/articles/-/264951?,,,
57,全体的な,ぜんたいてきな,toàn thể,新米と備蓄米が重なることによって、全体的な精米量が減るということはない,Sự chồng chéo giữa gạo mới và gạo dự trữ không làm giảm. tổng lượng gạo sạch,https://www3.nhk.or.jp/news/html/20250901/k10014909571000.html,,,
58,想定外な,そうていがいな,ngoài dự tính,ここまでの暑さは想定外で、戦略を立てるのが難しい。,"Nắng nóng vượt ngoài dự tính, khiến việc xây dựng chiến lược trở nên khó khăn.",,,,
59,大規模な,だいきぼな,quy mô lớn,ACTロードマップの最終段階であるAIエージェントによる大規模なビジネス変革において、ファーウェイは100以上のステップでエージェントとプロセスを自動生成できる「ワンストップ」のVersatileプラットフォームを発表しました。このプラットフォームは、AIエージェントの導入を迅速化します。,"Ở bước cuối cùng của lộ trình ACT – chuyển đổi hoạt động kinh doanh bằng các tác tử AI ở quy mô lớn, Huawei giới thiệu nền tảng Versatile “một cửa”, có khả năng tự động tạo ra các tác tử cũng như các quy trình với hơn 100 bước. Nền tảng này giúp tăng tốc quá trình triển khai tác nhân AI. ",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
,最終な,さいしゅうな,cuối cùng,ACTロードマップの最終段階であるAIエージェントによる大規模なビジネス変革において、ファーウェイは100以上のステップでエージェントとプロセスを自動生成できる「ワンストップ」のVersatileプラットフォームを発表しました。このプラットフォームは、AIエージェントの導入を迅速化します。,"Ở bước cuối cùng của lộ trình ACT – chuyển đổi hoạt động kinh doanh bằng các tác tử AI ở quy mô lớn, Huawei giới thiệu nền tảng Versatile “một cửa”, có khả năng tự động tạo ra các tác tử cũng như các quy trình với hơn 100 bước. Nền tảng này giúp tăng tốc quá trình triển khai tác nhân AI. ",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401160,,
61,大事な,だいじな,quan trọng,今回はゼロベースで、グローバルカンパニーとして何をやりたいのか、何が大事なのか、何をするべきなのかというところから出発して、5か年計画ができました,"Lần này, chúng tôi đã bắt đầu từ con số 0, bắt đầu từ việc xác định những gì chúng tôi muốn làm, những gì quan trọng và những gì cần làm với tư cách là một công ty toàn cầu, và từ đó xây dựng kế hoạch 5 năm.",https://www3.nhk.or.jp/news/html/20250901/k10014905561000.html,,,
62,大切な,たいせつな,"quan trọng, quý giá",実際に戦争を経験した人は多くが亡くなっているので非常に大切な資料だ,"Nhiều người đã trải qua chiến tranh đã qua đời, vì vậy đây là tài liệu rất quan trọng.",https://www3.nhk.or.jp/news/html/20250829/k10014906341000.html,,,
63,代表的な,だいひょうてきな,"biểu thị những cái điển hình, tiêu biểu nhất",米国国債や日本国債などが代表的。,Chứng khoán chính thống là những loại như trái phiếu chính phủ Mỹ (US Treasuries) và trái phiếu chính phủ Nhật Bản (JGBs) — những hình thức đại diện tiêu biểu.,https://www.sbisec.co.jp/ETGate/?OutSide=on&_ControlID=WPLETmgR001Control&burl=search_bond&cat1=bond&cat2=none&dir=info&file=bond_glossary.html&getFlg=on&,,,
64,正確な,たしかな,chính xác,しかし、インフレや燃料価格の変動により、店舗賃借費、人件費、物流費など運営コストが増大し、国内外の大手チェーン間での価格競争は激化しています。野菜、肉、魚などの生鮮食品については、正確な需要予測と効率的な在庫管理が求められており、これは困難な課題となっています。,"Tuy nhiên, cạnh tranh giá cả giữa các chuỗi lớn trong và ngoài nước ngày càng khốc liệt khi chi phí vận hành, từ thuê mặt bằng, nhân sự đến logistics ngày một tăng cao do lạm phát và giá xăng dầu biến động. Với nhóm hàng tươi sống như rau củ hay thịt cá, yêu cầu dự báo nhu cầu chính xác và quản lý tồn kho hiệu quả là bài toán nan giải.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
65,効率的な,こうりつてきな,Hiệu quả,しかし、インフレや燃料価格の変動により、店舗賃借費、人件費、物流費など運営コストが増大し、国内外の大手チェーン間での価格競争は激化しています。野菜、肉、魚などの生鮮食品については、正確な需要予測と効率的な在庫管理が求められており、これは困難な課題となっています。,"Tuy nhiên, cạnh tranh giá cả giữa các chuỗi lớn trong và ngoài nước ngày càng khốc liệt khi chi phí vận hành, từ thuê mặt bằng, nhân sự đến logistics ngày một tăng cao do lạm phát và giá xăng dầu biến động. Với nhóm hàng tươi sống như rau củ hay thịt cá, yêu cầu dự báo nhu cầu chính xác và quản lý tồn kho hiệu quả là bài toán nan giải.",https://www.vietnam.vn/ja/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10-000-ty-dong,https://dantri.com.vn/kinh-doanh/wincommerce-dat-muc-tieu-doanh-thu-quy-iii-vuot-10000-ty-dong-20250924161420963.htm,,
66,妥当な,だとうな,thỏa đáng,まだ小売業者に届いてない部分があるので、延長は妥当だった,Việc gia hạn này là thỏa đáng vì một số bộ phận vẫn chưa đến được các nhà bán lẻ.,https://www3.nhk.or.jp/news/html/20250901/k10014909571000.html,,,
67,多様な,たような,đa dạng,大手商社の三井物産、三菱商事、それに伊藤忠商事も、女性管理職の比率の向上や、障害者の雇用を積極的に進めるなどとする多様性の目標について変更しないということです。,"Các tập đoàn thương mại lớn như Mitsui Bussan, Mitsubishi Shōji và Itochu Shōji cho biết họ sẽ không thay đổi các mục tiêu liên quan đến đa dạng hóa, chẳng hạn như nâng tỷ lệ quản lý nữ và tích cực thúc đẩy việc tuyển dụng người khuyết tật.",https://www3.nhk.or.jp/news/html/20250116/k10014695281000.html,,,
68,中長期的な,ちゅうちょうきてき,trung – dài hạn,中長期的な日本経済の成長力,Sức tăng trưởng kinh tế Nhật trong trung và dài hạn,https://www.boj.or.jp/research/wps_rev/wps_1998/cwp98j04.htm,,,
69,長期的な,ちょうきてきな,"dài hạn, lâu dài",デジタルライフ・マルチメディア株式会社のTikTokショップパートナー＆クリエイターネットワーク責任者であるトゥアン・ドゥン氏は、ライブストリーミングは短期間で収益を生み出す可能性があるものの、非常に一時的なものであり、コンテンツの管理が難しく、長期的な価値は低いと述べています,"Ông Tuấn Dũng, Trưởng nhóm TikTok Shop Partner & Creator Network, Công ty Cổ phần Truyền thông đa phương tiện Cuộc Sống số cho rằng, livestream có thể tạo doanh thu nhanh, nhưng tính nhất thời cao, khó kiểm soát nội dung và ít để lại giá trị lâu dài. ",https://www.vietnam.vn/ja/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu,https://vtv.vn/social-commerce-xu-huong-moi-dinh-hinh-thi-truong-thuong-mai-dien-tu-100250925181753744.htm,,
70,著名な,ちょめいな,"nổi tiếng, danh tiếng",シャーク・ビン氏は1981年生まれで、ベトナムのテクノロジー分野で著名な実業家の一人です。2019年にはゲーム番組「シャークタンク」に出演し、シャーク・ビン氏の名前もその頃から使われ始めました。,"Shark Bình sinh năm 1981, là một trong những doanh nhân nổi tiếng trong lĩnh vực công nghệ tại Việt Nam. Năm 2019, ông Bình tham gia game show Shark Tank, tên gọi Shark Bình cũng xuất hiện từ thời điểm đó.",https://www.vietnam.vn/ja/nexttech-tut-von-tu-500-ty-xuong-4-2-ty-de-che-cua-shark-binh-con-gi,https://dantri.com.vn/kinh-doanh/nexttech-tut-von-tu-500-ty-xuong-42-ty-de-che-cua-shark-binh-con-gi-20251007141741140.htm,,
71,低調な,ていちょうな,ảm đạm (kinh tế),値上げされた飲料品などは低調でした,Ngành đồ uống thường tăng giá hiện đang khá ảm đạm.,https://www3.nhk.or.jp/news/html/20250815/k10014894571000.html,,,
72,丁寧な,ていねいな,"cẩn trọng, khéo léo",相手国の文化や歴史を把握して丁寧に向き合い、距離を縮めていくのが石破流だ,"Phong cách của ông Ishiba là tìm hiểu văn hóa và lịch sử của nước đối tác, rồi tiếp cận một cách cẩn trọng để dần thu hẹp khoảng cách.",https://www3.nhk.or.jp/news/html/20250822/k10014900121000.html,,,
73,適切な,てきせつな,"thích hợp,đúng",レオ・チェン氏は、実際に実施されたプロジェクトから、業界の知的変革を促進する5つの重要な要素を導き出します。まず、適切なアプリケーション シナリオを選択することが重要な成功要因です。AI は、コア プロダクション シナリオに深く統合された場合にのみ価値を生み出すためです。,"Từ các dự án đã triển khai thực tế, ông Leo Chen rút ra năm yếu tố then chốt thúc đẩy chuyển đổi trí tuệ hóa ngành công nghiệp. Thứ nhất, việc lựa chọn đúng kịch bản ứng dụng là yếu tố quyết định thành công, bởi AI chỉ tạo ra giá trị khi được tích hợp sâu vào các kịch bản sản xuất cốt lõi.",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
74,投機的な,とうきてきな,tính chất đầu cơ,実需に基づかない投機的な取り引きは好ましくない。,Các giao dịch mang tính đầu cơ không dựa trên nhu cầu thực tế là điều không mong muốn.,https://www3.nhk.or.jp/news/html/20250818/k10014896421000.html,,,
75,特別な,とくべつな,đặc biệt,取引終了時点で米国株式市場は48ポイント上昇し、特別な一日をさらに盛り上げました。,"Kết thúc phiên, thị trường chứng khoán Mỹ bật tăng 48 điểm, tạo thêm dấu ấn cho một ngày đặc biệt.",https://www.vietnam.vn/ja/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi,https://baochinhphu.vn/doanh-nghiep-viet-khang-dinh-khat-vong-hoi-nhap-go-cua-san-chung-khoan-lon-nhat-the-gioi-102250924020758608.htm,,
76,比較的な,ひかくてきな,tương đối,GDPの高成長、低金利、そして特に上場企業の利益成長といったマクロ経済基盤が支えられ、市場は新たな成長の波の兆しを見せています。PERは約15倍で、上場企業、特に基幹産業である銀行業の高い成長見通しから、市場は依然として比較的魅力的です,"Thị trường đang có dấu hiệu của một sóng tăng mới khi nền tảng vĩ mô đang được ủng hộ với tăng trưởng GDP cao, lãi suất thấp, đặc biệt là sự tăng trưởng lợi nhuận của doanh nghiệp niêm yết. Với mức định giá P/E khoảng 15x, triển vọng tăng trưởng cao của doanh nghiệp niêm yết, đặc biệt nhóm ngành trụ cột ngân hàng, thị trường vẫn còn tương đối hấp dẫn",https://www.vietnam.vn/ja/vn-index-gay-bat-ngo-truoc-gio-cong-bo-nang-hang-chung-khoan-kich-ban-nao-cho-nha-dau-tu,https://nld.com.vn/vn-index-gay-bat-ngo-truoc-gio-cong-bo-nang-hang-chung-khoan-kich-ban-nao-cho-nha-dau-tu-196251007172230508.htm,,
77,悲観的な,ひかんてきな,bi quan,根本的には国民の間の悲観的なムードが大きな要因として存在,"Cuối cùng, điều khiến thị trường trở nên đáng lo ngại hơn cả là chính tâm lý bi quan lan tỏa trong dân chúng—vượt qua cả dữ liệu kinh tế thực tế.",https://jp.wsj.com/articles/whats-wrong-with-the-economy-its-you-not-the-data-0af08749,,,
78,必要な,ひつような,cần thiết,ACT ロードマップに沿って展開を検討している企業には、データの準備と処理からモデルのトレーニング、推論、アプリケーション開発まで、プロセス全体をカバーする AI 指向の ICT インフラストラクチャが必要になります。,"Các doanh nghiệp muốn triển khai theo lộ trình ACT sẽ cần một hạ tầng ICT định hướng AI, bao gồm toàn bộ quy trình từ chuẩn bị và xử lý dữ liệu, đến huấn luyện mô hình, suy luận và phát triển ứng dụng.",https://www.vietnam.vn/ja/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep,https://doanhnghiepvn.vn/kinh-te/thuc-day-ung-dung-ai-trong-san-xuat-van-hanh-doanh-nghiep/20250925090401159,,
79,敏感な,びんかんな,nhạy cảm,敏感すぎると思えるほどドル円相場は大きく動いた。,Tỷ giá USD/JPY biến động mạnh đến mức bị cho là phản ứng quá nhạy cảm.,https://www3.nhk.or.jp/news/html/20250829/k10014905911000.html,,,
80,不安な,ふあんな,bất an,素直に従うかどうか不安が残る。,Vẫn còn lo ngại liệu có tuân thủ một cách nghiêm ngặt hay không.,https://www3.nhk.or.jp/news/html/20250830/k10014907951000.html,,,
81,不確実な,ふかくじつ,"không chắc chắn, bất định",経済不確実性の中、安全資産の金価格が過去最高,"Trước bối cảnh bất định kinh tế, giá vàng như một tài sản an toàn đã leo lên mức cao kỷ lục.",https://www.youtube.com/watch?v=ylqXQw2_vUA,,,
82,複雑な,ふくざつな,phức tạp,日本の賃金を各国と比較するとその差に愕然（がくぜん）とします。日本はなぜこうまで賃金が上がりにくいのか。複雑な構造要因をひもときます。,"Khi so sánh mức lương của Nhật Bản với các nước khác, người ta không khỏi kinh ngạc trước sự chênh lệch đó. Tại sao mức lương ở Nhật Bản lại khó tăng đến vậy? Hãy cùng tìm hiểu các yếu tố cấu trúc phức tạp đằng sau điều này.",https://www3.nhk.or.jp/news/html/20240625/k10014490591000.html,,,
83,不思議な,ふしぎな,"khó hiểu, lạ lùng",アメリカの関税政策は最悪のシナリオは免れたものの、半年前に比べると非常に高い関税率が残ることになり、最高値を更新しているのは非常に不思議な部分だ。,"Chính sách thuế quan của Mỹ tuy đã tránh được kịch bản tồi tệ nhất, nhưng so với nửa năm trước thì vẫn còn mức thuế rất cao, và việc giá lại liên tục lập đỉnh mới là điều khá khó hiểu.",https://www3.nhk.or.jp/news/html/20250812/k10014892171000.html,,,
84,不十分な,ふじゅうぶんな,"không đầy đủ, chưa đầy đủ",当該支店におけるマネーロンダリング防止活動は不十分であり、顧客審査および取引手続きに関する内部規則および通達第09/2023/TT-NHNN号に従って厳格に実施されていなかったと結論付けられました。,"Hoạt động phòng, chống rửa tiền tại chi nhánh được kết luận là chưa đầy đủ, chưa thực hiện chặt chẽ theo quy định nội bộ về quy trình sàng lọc khách hàng, giao dịch và Thông tư số 09/2023/TT-NHNN.",https://www.vietnam.vn/ja/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than,https://doanhnghiepvn.vn/kinh-te/nhieu-vi-pham-tai-agribank-khu-cong-nghiep-song-than/20251007014226558,,
85,不測な,ふそくな,bất trắc,一方、台風などの自然災害による閉場といった不測の事態が発生する可能性があることや、万博会場周辺の駐車場の利用が低迷し、赤字になっていることなどを踏まえ、現状では収支は確定できないとしています。,"Mặt khác, xét đến khả năng xảy ra những tình huống không lường trước được như đóng cửa do thiên tai như bão, và thực tế là các bãi đậu xe xung quanh khu vực Expo đang có mức sử dụng thấp và đang thua lỗ, tổ chức này cho biết họ không thể xác định được thu nhập và chi tiêu của mình tại thời điểm này.",https://www3.nhk.or.jp/news/html/20250818/k10014897151000.html,,"Về từ 「不測な」(không lường trước được, khó đoán)

Đây là một tính từ hiếm khi xuất hiện một mình trong tin tức kinh tế; thay vào đó, dạng phổ biến hơn là 「不測の」 như trong cụm 「不測の事態」 (tình huống bất ngờ, bất khả kháng).

VD: トランプ氏は米GDP成長率の結果にも注文を付けていた中で、今後も経済統計を巡る不測の事態が起こる可能性はあろう。
->Ông Trump từng đặt câu hỏi về kết quả tăng trưởng GDP của Mỹ, vì vậy khả năng xảy ra các tình huống bất ngờ liên quan đến số liệu kinh tế trong thời gian tới là điều khó tránh khỏi.

Nguồn:https://www.dir.co.jp/report/research/economics/outlook/20250825_025278.html?utm_source=chatgpt.com",
86,不適切な,ふてきせつな,"không thích hợp, không phù hợp",金融商品取引業者の“三木証券”は、高齢者に対してリスクを十分に説明せずに外国株式を販売したとして、日本証券業協会から「不適切な勧誘行為」を指摘された…,"Công ty chứng khoán “Miki Securities” đã bị Hiệp hội Chứng khoán Nhật Bản chỉ trích vì thực hiện các hành vi môi giới không phù hợp, khi bán cổ phiếu nước ngoài cho người cao tuổi mà không giải thích đầy đủ về rủi ro.",https://www3.nhk.or.jp/news/html/20231115/k10014258721000.html,,,
87,不透明な,ふとうめいな,"không minh bạch, mờ ám",「政策の不透明性により、世界経済の展望が低下しています。」,"Báo cáo của OECD cảnh báo rằng, do tính không minh bạch của chính sách, triển vọng tăng trưởng toàn cầu đang bị kéo điều chỉnh đi xuống.",https://www.oecd.org/ja/about/news/press-releases/2025/06/global-economic-outlook-shifts-as-trade-policy-uncertainty-weakens-growth.html,,,
88,不便な,ふべんな,bất tiện,こんなに不便ならば、免許を返納しなければよかったです,"""Nếu bất tiện như vậy, tôi không nên trả lại bằng lái xe.""",https://www3.nhk.or.jp/news/html/20230908/k10014188321000.html,,,
89,プラスな,ぷらす,"phần tăng, tích cực",３月の機械受注は２か月連続でプラスとなりました。,"Đơn đặt hàng máy móc trong tháng 3 ghi nhận mức tăng, đánh dấu tháng tăng thứ hai liên tiếp.",https://jp.reuters.com/markets/japan/funds/QBGRU25HSNMDDLMEBTMG43OI2Y-2025-05-22,,,
90,不良な,ふりょう,"hỏng, không đạt chất lượng",銀行の不良債権が増加し、金融システムへの懸念が広がっています。,"Các khoản nợ xấu của ngân hàng gia tăng, làm dấy lên lo ngại đối với hệ thống tài chính.",https://www5.cao.go.jp/j-j/wp/wp-je01/wp-je01-00202.html,,,
91,平均的な,へいきんてきな,trung bình,平均で6％から7.5％の引き上げとなる見通し…,"Dự kiến tăng trung bình từ 6% đến 7,5%.",https://www3.nhk.or.jp/news/html/20250828/k10014905931000.html,,,
92,便利な,べんりな,"tiện lợi, thuận lợi",イオンタンアンショッピングセンターは、 タイニン省（新行政中心地）のフンヴォン通りに位置します。フンヴォン通りは国道1A号線に直結する主要幹線道路で、ホーチミン市とチュンルオン高速道路までわずか1kmです。この好立地は、ホーチミン市やメコンデルタ各省からタンアンへのアクセスに便利であり、南部地域におけるイオンのプレゼンス拡大に貢献します。,"Trung tâm thương mại (TTTM) AEON Tân An tọa lạc tại Trung tâm hành chính mới của tỉnh Tây Ninh (mới), trên trục đường Hùng Vương - tuyến huyết mạch kết nối trực tiếp Quốc lộ 1A và chỉ cách cao tốc TPHCM - Trung Lương khoảng 1km. Vị trí đắc địa này giúp việc di chuyển từ TPHCM và các tỉnh đồng bằng sông Cửu Long đến Tân An trở nên thuận lợi, đồng thời mở rộng sự hiện diện của AEON tại khu vực phía Nam.",https://www.vietnam.vn/ja/khanh-thanh-aeon-tan-an-buoc-tien-moi-trong-chien-luoc-mo-rong-dau-tu-tai-viet-nam,https://dantri.com.vn/kinh-doanh/khanh-thanh-aeon-tan-an-buoc-tien-moi-trong-chien-luoc-mo-rong-dau-tu-tai-viet-nam-20251007151706995.htm,,
